MFCCs 30% Test 70% Train 
0.798 (+/-0.078) para {'activation': 'identity', 'batch_size': 50, 'hidden_layer_sizes': (50, 50), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.855 (+/-0.030) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.296 (+/-0.162) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1, 'solver': 'sgd'}
0.879 (+/-0.057) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'lbfgs'}
0.885 (+/-0.058) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.1, 'solver': 'sgd'}
0.790 (+/-0.146) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'lbfgs'}
0.788 (+/-0.037) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.001, 'solver': 'sgd'}
0.199 (+/-0.036) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.0001, 'solver': 'adam'}
0.904 (+/-0.027) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.0001, 'solver': 'lbfgs'}
0.218 (+/-0.158) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 0.0001, 'solver': 'sgd'}
0.845 (+/-0.035) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1, 'solver': 'adam'}
0.904 (+/-0.029) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1, 'solver': 'lbfgs'}
0.252 (+/-0.121) para {'activation': 'identity', 'batch_size': 100, 'hidden_layer_sizes': (25, 25), 'learning_rate_init': 1, 'solver': 'sgd'}
