MFCCs 30% Test 70% Train 
0.868 (+/-0.022) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 2, 'weights': 'distance'}
0.856 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 3, 'weights': 'uniform'}
0.865 (+/-0.019) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 3, 'weights': 'distance'}
0.848 (+/-0.038) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 5, 'weights': 'uniform'}
0.868 (+/-0.025) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 5, 'weights': 'distance'}
0.845 (+/-0.029) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 6, 'weights': 'uniform'}
0.864 (+/-0.028) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 6, 'weights': 'distance'}
0.840 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 8, 'weights': 'uniform'}
0.852 (+/-0.020) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 8, 'weights': 'distance'}
0.839 (+/-0.023) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 10, 'weights': 'uniform'}
0.851 (+/-0.024) para {'algorithm': 'ball_tree', 'n_neighbors': 150, 'p': 10, 'weights': 'distance'}
0.899 (+/-0.054) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 1, 'weights': 'uniform'}
0.899 (+/-0.054) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 1, 'weights': 'distance'}
0.906 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 2, 'weights': 'uniform'}
0.906 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 2, 'weights': 'distance'}
0.904 (+/-0.033) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 3, 'weights': 'uniform'}
0.904 (+/-0.033) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 3, 'weights': 'distance'}
0.900 (+/-0.035) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 5, 'weights': 'uniform'}
0.900 (+/-0.035) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 5, 'weights': 'distance'}
0.895 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 6, 'weights': 'uniform'}
0.895 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 6, 'weights': 'distance'}
0.896 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 8, 'weights': 'uniform'}
0.896 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 8, 'weights': 'distance'}
0.890 (+/-0.038) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 10, 'weights': 'uniform'}
0.890 (+/-0.038) para {'algorithm': 'kd_tree', 'n_neighbors': 1, 'p': 10, 'weights': 'distance'}
0.874 (+/-0.019) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}
0.899 (+/-0.054) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}
0.875 (+/-0.034) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}
0.906 (+/-0.041) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}
0.876 (+/-0.024) para {'algorithm': 'kd_tree', 'n_neighbors': 2, 'p': 3, 'weights': 'uniform'}
