MFCCs 30% Test 70% Train 
0.516 (+/-0.149) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.581 (+/-0.083) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
LPCs3 30% Test 70% Train linear 
0.208 (+/-0.007) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.270 (+/-0.032) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.317 (+/-0.071) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.416 (+/-0.062) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.405 (+/-0.120) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.457 (+/-0.114) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.439 (+/-0.115) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.491 (+/-0.073) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.522 (+/-0.157) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
TOTAL1 30% Test 70% Train linear 
0.333 (+/-0.104) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.402 (+/-0.137) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.387 (+/-0.109) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.467 (+/-0.071) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.429 (+/-0.116) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.429 (+/-0.123) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.429 (+/-0.123) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.429 (+/-0.123) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.429 (+/-0.123) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
TOTAL2 30% Test 70% Train linear 
0.487 (+/-0.041) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.516 (+/-0.073) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.492 (+/-0.075) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.093) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.093) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.093) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.093) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.093) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.476 (+/-0.093) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
TOTAL3 30% Test 70% Train linear 
0.695 (+/-0.071) para {'C': 0.0001, 'gamma': 1, 'kernel': 'linear'}
0.685 (+/-0.052) para {'C': 0.001, 'gamma': 1, 'kernel': 'linear'}
0.667 (+/-0.066) para {'C': 0.01, 'gamma': 1, 'kernel': 'linear'}
0.659 (+/-0.040) para {'C': 0.1, 'gamma': 1, 'kernel': 'linear'}
0.659 (+/-0.040) para {'C': 1, 'gamma': 1, 'kernel': 'linear'}
0.659 (+/-0.040) para {'C': 10, 'gamma': 1, 'kernel': 'linear'}
0.659 (+/-0.040) para {'C': 100, 'gamma': 1, 'kernel': 'linear'}
0.659 (+/-0.040) para {'C': 1000, 'gamma': 1, 'kernel': 'linear'}
0.659 (+/-0.040) para {'C': 10000, 'gamma': 1, 'kernel': 'linear'}
MFCCs 25% Test 75% Train 
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 0.0001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 0.001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 0.01, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 0.1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 10, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 100, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 1000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.0001, 'gamma': 10000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 0.0001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 10, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 100, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 1000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.001, 'gamma': 10000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 0.0001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}
0.529 (+/-0.012) para {'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 100, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 1000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.01, 'gamma': 10000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
0.751 (+/-0.033) para {'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
0.853 (+/-0.032) para {'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
0.602 (+/-0.069) para {'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.1, 'gamma': 100, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.1, 'gamma': 1000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 0.1, 'gamma': 10000, 'kernel': 'rbf'}
0.210 (+/-0.002) para {'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}
0.755 (+/-0.036) para {'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
0.880 (+/-0.032) para {'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
